date_time	NINO3
1961.88	-0.58
1961.96	-0.39
1962.08	-0.16
1962.16	-0.11
1962.24	-0.18
1962.32	-0.32
1962.40	-0.47
1962.48	-0.47
1962.56	-0.39
1962.64	-0.24
1962.72	-0.27
1962.80	-0.29
1962.88	-0.44
1962.96	-0.49
1963.08	-0.46
1963.16	-0.37
1963.24	-0.14
1963.32	-0.02
1963.40	0.12
1963.48	0.25
1963.56	0.52
1963.64	0.78
1963.72	0.87
1963.80	0.86
1963.88	0.79
1963.96	0.92
1964.08	0.84
1964.16	0.68
1964.24	0.26
1964.32	-0.22
1964.40	-0.63
1964.48	-0.91
1964.56	-0.81
1964.64	-0.77
1964.72	-0.67
1964.80	-0.77
1964.88	-0.75
1964.96	-0.85
1965.08	-0.77
1965.16	-0.59
1965.24	-0.28
1965.32	-0.04
1965.40	0.23
1965.48	0.48
1965.56	0.74
1965.64	0.98
1965.72	1.21
1965.80	1.40
1965.88	1.50
1965.96	1.54
1966.08	1.44
1966.16	1.15
1966.24	0.81
1966.32	0.52
1966.40	0.20
1966.48	0.02
1966.56	-0.09
1966.64	-0.12
1966.72	-0.17
1966.80	-0.22
1966.88	-0.28
1966.96	-0.36
1967.08	-0.42
1967.16	-0.39
1967.24	-0.33
1967.32	-0.42
1967.40	-0.39
1967.48	-0.30
1967.56	-0.17
1967.64	-0.27
1967.72	-0.51
1967.80	-0.68
1967.88	-0.72
1967.96	-0.67
1968.08	-0.72
1968.16	-0.86
1968.24	-0.97
1968.32	-0.83
1968.40	-0.64
1968.48	-0.27
1968.56	0.01
1968.64	0.31
1968.72	0.36
1968.80	0.35
1968.88	0.40
1968.96	0.52
1969.08	0.61
1969.16	0.62
1969.24	0.56
1969.32	0.48
1969.40	0.49
1969.48	0.50
1969.56	0.47
1969.64	0.46
1969.72	0.51
1969.80	0.69
1969.88	0.80
1969.96	0.86
1970.08	0.83
1970.16	0.63
1970.24	0.39
1970.32	0.15
1970.40	-0.03
1970.48	-0.28
1970.56	-0.73
1970.64	-1.08
1970.72	-1.18
1970.80	-0.98
1970.88	-0.88
1970.96	-0.97
1971.08	-1.14
1971.16	-1.24
1971.24	-1.22
1971.32	-1.07
1971.40	-0.89
1971.48	-0.78
1971.56	-0.70
1971.64	-0.69
1971.72	-0.65
1971.80	-0.78
1971.88	-0.86
1971.96	-0.99
1972.08	-0.84
1972.16	-0.60
1972.24	-0.30
1972.32	-0.03
1972.40	0.21
1972.48	0.55
1972.56	0.83
1972.64	1.27
1972.72	1.52
1972.80	1.79
1972.88	1.90
1972.96	2.20
1973.08	2.11
1973.16	1.73
1973.24	1.08
1973.32	0.47
1973.40	-0.07
1973.48	-0.51
1973.56	-0.84
1973.64	-1.02
1973.72	-1.12
1973.80	-1.20
1973.88	-1.37
1973.96	-1.55
1974.08	-1.63
1974.16	-1.47
1974.24	-1.24
1974.32	-0.92
1974.40	-0.67
1974.48	-0.46
1974.56	-0.34
1974.64	-0.22
1974.72	-0.17
1974.80	-0.26
1974.88	-0.47
1974.96	-0.62
1975.08	-0.53
1975.16	-0.42
1975.24	-0.34
1975.32	-0.35
1975.40	-0.50
1975.48	-0.73
1975.56	-0.91
1975.64	-0.87
1975.72	-0.85
1975.80	-0.95
1975.88	-1.09
1975.96	-1.23
1976.08	-1.38
1976.16	-1.32
1976.24	-1.02
1976.32	-0.57
1976.40	-0.30
1976.48	0.01
1976.56	0.31
1976.64	0.62
1976.72	0.78
1976.80	0.93
1976.88	1.03
1976.96	1.01
1977.08	1.01
1977.16	0.87
1977.24	0.78
1977.32	0.31
1977.40	0.07
1977.48	-0.00
1977.56	0.20
1977.64	0.18
1977.72	0.12
1977.80	0.26
1977.88	0.53
1977.96	0.75
1978.08	0.71
1978.16	0.58
1978.24	0.35
1978.32	-0.02
1978.40	-0.32
1978.48	-0.49
1978.56	-0.48
1978.64	-0.53
1978.72	-0.52
1978.80	-0.38
1978.88	-0.15
1978.96	0.09
1979.08	0.12
1979.16	0.11
1979.24	0.04
1979.32	0.16
1979.40	0.25
1979.48	0.33
1979.56	0.21
1979.64	0.25
1979.72	0.41
1979.80	0.60
1979.88	0.65
1979.96	0.62
1980.08	0.62
1980.16	0.52
1980.24	0.31
1980.32	0.18
1980.40	0.17
1980.48	0.28
1980.56	0.22
1980.64	0.12
1980.72	-0.00
1980.80	-0.06
1980.88	0.00
1980.96	0.11
1981.08	-0.01
1981.16	-0.21
1981.24	-0.35
1981.32	-0.24
1981.40	-0.10
1981.48	-0.07
1981.56	-0.09
1981.64	-0.14
1981.72	-0.09
1981.80	0.04
1981.88	0.08
1981.96	0.13
1982.08	0.17
1982.16	0.21
1982.24	0.15
1982.32	0.18
1982.40	0.42
1982.48	0.72
1982.56	0.82
1982.64	0.92
1982.72	1.16
1982.80	1.69
1982.88	2.18
1982.96	2.58
1983.08	2.78
1983.16	2.75
1983.24	2.44
1983.32	2.01
1983.40	1.76
1983.48	1.56
1983.56	1.27
1983.64	0.87
1983.72	0.45
1983.80	0.04
1983.88	-0.42
1983.96	-0.65
1984.08	-0.63
1984.16	-0.45
1984.24	-0.30
1984.32	-0.25
1984.40	-0.34
1984.48	-0.61
1984.56	-0.65
1984.64	-0.60
1984.72	-0.39
1984.80	-0.49
1984.88	-0.68
1984.96	-1.03
1985.08	-1.04
1985.16	-1.00
1985.24	-0.81
1985.32	-0.82
1985.40	-0.81
1985.48	-0.79
1985.56	-0.73
1985.64	-0.65
1985.72	-0.62
1985.80	-0.62
1985.88	-0.59
1985.96	-0.57
1986.08	-0.57
1986.16	-0.56
1986.24	-0.49
1986.32	-0.35
1986.40	-0.33
1986.48	-0.25
1986.56	-0.10
1986.64	0.07
1986.72	0.27
1986.80	0.50
1986.88	0.81
1986.96	0.93
1987.08	1.03
1987.16	1.05
1987.24	1.15
1987.32	1.10
1987.40	1.12
1987.48	1.14
1987.56	1.29
1987.64	1.39
1987.72	1.53
1987.80	1.51
1987.88	1.44
1987.96	1.25
1988.08	1.03
1988.16	0.71
1988.24	0.44
1988.32	0.05
1988.40	-0.38
1988.48	-1.02
1988.56	-1.36
1988.64	-1.51
1988.72	-1.41
1988.80	-1.51
1988.88	-1.65
1988.96	-1.81
1989.08	-1.70
1989.16	-1.37
1989.24	-1.11
1989.32	-0.89
1989.40	-0.79
1989.48	-0.57
1989.56	-0.37
1989.64	-0.34
1989.72	-0.30
1989.80	-0.33
1989.88	-0.26
1989.96	-0.26
1990.08	-0.18
1990.16	-0.00
1990.24	0.11
1990.32	0.24
1990.40	0.30
1990.48	0.31
1990.56	0.25
1990.64	0.15
1990.72	0.19
1990.80	0.18
1990.88	0.12
1990.96	0.09
1991.08	0.18
1991.16	0.26
1991.24	0.27
1991.32	0.19
1991.40	0.27
1991.48	0.47
1991.56	0.69
1991.64	0.65
1991.72	0.48
1991.80	0.48
1991.88	0.73
1991.96	1.13
1992.08	1.38
1992.16	1.47
1992.24	1.44
1992.32	1.40
1992.40	1.42
1992.48	1.16
1992.56	0.75
1992.64	0.18
1992.72	-0.05
