date_time	ST	wind_burst
1961.88	-0.09	-5.84
1961.96	-0.09	-7.37
1962.08	-0.08	-1.64
1962.16	-0.08	-7.92
1962.24	-0.07	-4.74
1962.32	-0.07	4.18
1962.40	-0.08	-6.15
1962.48	-0.08	1.47
1962.56	-0.09	0.12
1962.64	-0.09	-9.54
1962.72	-0.09	-3.17
1962.80	-0.10	-7.20
1962.88	-0.11	-11.77
1962.96	-0.12	-5.83
1963.08	-0.12	2.99
1963.16	-0.11	1.54
1963.24	-0.11	12.87
1963.32	-0.10	8.31
1963.40	-0.09	14.37
1963.48	-0.08	10.93
1963.56	-0.07	10.15
1963.64	-0.05	8.39
1963.72	-0.04	4.42
1963.80	-0.03	11.07
1963.88	-0.02	2.14
1963.96	-0.02	1.52
1964.08	-0.01	-13.99
1964.16	-0.01	-23.29
1964.24	-0.01	-1.12
1964.32	-0.03	-6.04
1964.40	-0.05	2.90
1964.48	-0.07	-2.11
1964.56	-0.09	-7.45
1964.64	-0.12	-4.80
1964.72	-0.14	-8.21
1964.80	-0.16	-5.38
1964.88	-0.17	0.35
1964.96	-0.17	3.08
1965.08	-0.16	-3.75
1965.16	-0.14	-12.42
1965.24	-0.13	-1.51
1965.32	-0.11	0.94
1965.40	-0.09	-1.48
1965.48	-0.08	3.11
1965.56	-0.06	7.50
1965.64	-0.06	5.81
1965.72	-0.05	7.12
1965.80	-0.00	8.68
1965.88	0.02	5.04
1965.96	0.03	-6.09
1966.08	0.04	-12.04
1966.16	0.05	-4.02
1966.24	0.06	0.55
1966.32	0.07	-2.48
1966.40	0.09	1.00
1966.48	0.11	-4.10
1966.56	0.13	-4.98
1966.64	0.14	-6.57
1966.72	0.15	-5.84
1966.80	0.18	-2.94
1966.88	0.20	3.48
1966.96	0.22	-10.56
1967.08	0.21	-12.02
1967.16	0.21	-7.38
1967.24	0.22	8.53
1967.32	0.22	2.35
1967.40	0.23	9.22
1967.48	0.24	-0.36
1967.56	0.26	11.56
1967.64	0.26	1.09
1967.72	0.26	3.99
1967.80	0.26	-1.58
1967.88	0.27	0.84
1967.96	0.27	4.04
1968.08	0.27	11.91
1968.16	0.28	4.15
1968.24	0.29	3.98
1968.32	0.30	18.80
1968.40	0.32	11.00
1968.48	0.33	10.51
1968.56	0.32	6.39
1968.64	0.32	13.60
1968.72	0.32	8.54
1968.80	0.32	7.98
1968.88	0.33	12.13
1968.96	0.33	23.54
1969.08	0.33	6.82
1969.16	0.32	12.30
1969.24	0.32	-7.87
1969.32	0.33	-7.08
1969.40	0.34	-4.77
1969.48	0.34	-0.90
1969.56	0.35	1.36
1969.64	0.35	-7.64
1969.72	0.34	2.29
1969.80	0.34	0.16
1969.88	0.34	0.46
1969.96	0.34	-5.83
1970.08	0.34	8.91
1970.16	0.34	4.22
1970.24	0.35	-10.96
1970.32	0.35	-10.10
1970.40	0.35	3.05
1970.48	0.35	-1.29
1970.56	0.34	-4.00
1970.64	0.33	-13.97
1970.72	0.32	-10.99
1970.80	0.30	-10.55
1970.88	0.28	-0.07
1970.96	0.26	-8.83
1971.08	0.23	11.77
1971.16	0.20	-3.87
1971.24	0.18	3.16
1971.32	0.18	4.84
1971.40	0.16	-3.75
1971.48	0.15	5.17
1971.56	0.15	1.51
1971.64	0.14	-1.52
1971.72	0.13	-4.47
1971.80	0.12	-9.40
1971.88	0.12	0.72
1971.96	0.12	0.95
1972.08	0.12	5.11
1972.16	0.13	4.92
1972.24	0.13	12.22
1972.32	0.13	6.77
1972.40	0.13	8.92
1972.48	0.12	5.31
1972.56	0.11	16.26
1972.64	0.10	12.47
1972.72	0.09	21.44
1972.80	0.09	20.89
1972.88	0.08	2.54
1972.96	0.07	9.30
1973.08	0.07	4.97
1973.16	0.07	-1.73
1973.24	0.07	-6.32
1973.32	0.07	-10.69
1973.40	0.07	-2.77
1973.48	0.06	-6.73
1973.56	0.06	-3.93
1973.64	0.05	-9.00
1973.72	0.04	-11.84
1973.80	0.03	-7.92
1973.88	0.03	-3.13
1973.96	0.02	-8.00
1974.08	0.01	11.16
1974.16	0.01	-10.24
1974.24	0.02	10.94
1974.32	0.02	7.45
1974.40	0.02	2.75
1974.48	0.03	6.06
1974.56	0.04	4.96
1974.64	0.05	1.86
1974.72	0.05	1.06
1974.80	0.07	2.76
1974.88	0.07	3.38
1974.96	0.08	-4.83
1975.08	0.09	-0.27
1975.16	0.10	-5.89
1975.24	0.10	-6.19
1975.32	0.10	-4.61
1975.40	0.09	-0.80
1975.48	0.07	-5.28
1975.56	0.07	-6.79
1975.64	0.06	-6.19
1975.72	0.04	-11.95
1975.80	0.03	-4.03
1975.88	0.01	-1.72
1975.96	0.00	-7.34
1976.08	-0.01	-4.66
1976.16	-0.01	8.36
1976.24	-0.02	4.26
1976.32	-0.02	0.48
1976.40	-0.02	-3.23
1976.48	-0.03	4.62
1976.56	-0.03	6.02
1976.64	-0.04	5.75
1976.72	-0.06	13.66
1976.80	-0.07	-2.09
1976.88	-0.08	-1.72
1976.96	-0.08	0.34
1977.08	-0.09	-0.91
1977.16	-0.10	-8.83
1977.24	-0.10	-5.53
1977.32	-0.09	0.61
1977.40	-0.09	-0.51
1977.48	-0.09	-1.69
1977.56	-0.09	1.91
1977.64	-0.08	1.22
1977.72	-0.08	-1.13
1977.80	-0.08	2.44
1977.88	-0.08	1.18
1977.96	-0.08	2.25
1978.08	-0.08	-1.04
1978.16	-0.09	0.65
1978.24	-0.09	-0.03
1978.32	-0.10	1.45
1978.40	-0.11	-9.46
1978.48	-0.12	2.13
1978.56	-0.12	-4.41
1978.64	-0.11	-1.16
1978.72	-0.11	-5.23
1978.80	-0.12	-2.68
1978.88	-0.13	0.18
1978.96	-0.12	-6.92
1979.08	-0.12	-3.91
1979.16	-0.11	0.92
1979.24	-0.10	-2.01
1979.32	-0.09	-10.69
1979.40	-0.08	-10.02
1979.48	-0.07	-8.65
1979.56	-0.06	-7.05
1979.64	-0.06	0.47
1979.72	-0.04	-8.64
1979.80	-0.04	-3.61
1979.88	-0.03	-2.20
1979.96	-0.03	11.11
1980.08	-0.03	4.74
1980.16	-0.02	-0.07
1980.24	-0.01	0.26
1980.32	-0.01	-1.94
1980.40	-0.00	-1.13
1980.48	-0.00	-0.97
1980.56	-0.01	2.35
1980.64	-0.01	-3.17
1980.72	-0.01	4.13
1980.80	-0.01	-0.66
1980.88	-0.01	-2.12
1980.96	-0.00	8.98
1981.08	-0.01	0.97
1981.16	-0.01	4.33
1981.24	0.00	-5.25
1981.32	-0.01	2.96
1981.40	-0.00	-5.53
1981.48	0.01	-4.77
1981.56	0.01	-7.70
1981.64	0.01	-0.45
1981.72	0.02	-4.95
1981.80	0.02	-0.76
1981.88	0.03	-1.24
1981.96	0.04	-1.27
1982.08	0.03	0.44
1982.16	0.03	13.89
1982.24	0.03	1.72
1982.32	0.04	8.72
1982.40	0.06	4.05
1982.48	0.07	12.17
1982.56	0.11	14.88
1982.64	0.15	20.24
1982.72	0.18	19.82
1982.80	0.21	26.32
1982.88	0.24	22.32
1982.96	0.28	0.88
1983.08	0.30	6.32
1983.16	0.32	-2.12
1983.24	0.33	-0.31
1983.32	0.32	0.72
1983.40	0.32	-8.60
1983.48	0.35	-4.92
1983.56	0.37	-6.88
1983.64	0.37	1.35
1983.72	0.35	2.64
1983.80	0.34	2.14
1983.88	0.32	-0.03
1983.96	0.32	6.40
1984.08	0.33	2.37
1984.16	0.31	-8.63
1984.24	0.27	-11.10
1984.32	0.23	-10.61
1984.40	0.19	-3.80
1984.48	0.18	3.36
1984.56	0.16	-0.84
1984.64	0.15	4.93
1984.72	0.13	-3.23
1984.80	0.12	2.50
1984.88	0.10	1.62
1984.96	0.08	4.81
1985.08	0.08	4.54
1985.16	0.06	-1.19
1985.24	0.04	-3.27
1985.32	0.04	13.14
1985.40	0.03	4.28
1985.48	0.03	3.39
1985.56	0.05	6.05
1985.64	0.07	-2.40
1985.72	0.10	0.73
1985.80	0.14	-0.04
1985.88	0.17	0.23
1985.96	0.21	-4.18
1986.08	0.25	-1.32
1986.16	0.26	6.97
1986.24	0.27	0.49
1986.32	0.27	2.21
1986.40	0.27	6.53
1986.48	0.27	-0.25
1986.56	0.26	4.36
1986.64	0.25	7.55
1986.72	0.24	10.90
1986.80	0.23	-6.98
1986.88	0.22	5.34
1986.96	0.20	4.99
1987.08	0.19	-9.06
