# time (year)	NINO3.4 index (thresh =+-0.4)
1961.005	-0.156
1961.032	-0.075
1961.060	0.005
1961.087	0.078
1961.114	0.053
1961.142	0.028
1961.169	0.036
1961.196	0.133
1961.224	0.230
1961.251	0.309
1961.279	0.306
1961.306	0.303
1961.333	0.325
1961.361	0.477
1961.388	0.628
1961.415	0.759
1961.443	0.586
1961.470	0.412
1961.498	0.240
1961.525	0.072
1961.552	-0.096
1961.580	-0.263
1961.607	-0.329
1961.634	-0.390
1961.662	-0.451
1961.689	-0.477
1961.717	-0.497
1961.744	-0.517
1961.771	-0.448
1961.799	-0.364
1961.826	-0.281
1961.854	-0.237
1961.881	-0.207
1961.908	-0.177
1961.936	-0.218
1961.963	-0.283
1961.990	-0.347
1962.018	-0.349
1962.045	-0.317
1962.073	-0.285
1962.100	-0.262
1962.127	-0.248
1962.155	-0.234
1962.182	-0.225
1962.209	-0.219
1962.237	-0.212
1962.264	-0.219
1962.292	-0.232
1962.319	-0.245
1962.346	-0.200
1962.374	-0.123
1962.401	-0.046
1962.428	0.013
1962.456	0.057
1962.483	0.100
1962.511	0.106
1962.538	0.080
1962.565	0.055
1962.593	-0.006
1962.620	-0.113
1962.648	-0.219
1962.675	-0.299
1962.702	-0.326
1962.730	-0.352
1962.757	-0.376
1962.784	-0.396
1962.812	-0.415
1962.839	-0.438
1962.867	-0.475
1962.894	-0.512
1962.921	-0.536
1962.949	-0.520
1962.976	-0.504
1963.003	-0.482
1963.031	-0.414
1963.058	-0.346
1963.086	-0.278
1963.113	-0.170
1963.140	-0.063
1963.168	0.029
1963.195	0.067
1963.222	0.106
1963.250	0.146
1963.277	0.196
1963.305	0.246
1963.332	0.297
1963.359	0.355
1963.387	0.413
1963.414	0.473
1963.441	0.656
1963.469	0.839
1963.496	1.020
1963.524	1.036
1963.551	1.052
1963.578	1.069
1963.606	1.082
1963.633	1.095
1963.661	1.108
1963.688	1.094
1963.715	1.074
1963.743	1.054
1963.770	1.045
1963.797	1.038
1963.825	1.032
1963.852	1.077
1963.880	1.144
1963.907	1.210
1963.934	1.146
1963.962	1.027
1963.989	0.908
1964.016	0.775
1964.044	0.632
1964.071	0.490
1964.099	0.296
1964.126	0.050
1964.153	-0.195
1964.181	-0.298
1964.208	-0.311
1964.235	-0.324
1964.263	-0.375
1964.290	-0.462
1964.318	-0.549
1964.345	-0.617
1964.372	-0.669
1964.400	-0.721
1964.427	-0.751
1964.454	-0.755
1964.482	-0.758
1964.509	-0.737
1964.537	-0.686
1964.564	-0.634
1964.591	-0.627
1964.619	-0.704
1964.646	-0.782
1964.674	-0.843
1964.701	-0.857
1964.728	-0.870
1964.756	-0.896
1964.783	-0.957
1964.810	-1.019
1964.838	-1.070
1964.865	-1.070
1964.893	-1.070
1964.920	-1.050
1964.947	-0.930
1964.975	-0.811
1965.002	-0.692
1965.029	-0.579
1965.057	-0.466
1965.084	-0.353
1965.112	-0.353
1965.139	-0.357
1965.166	-0.344
1965.194	-0.251
1965.221	-0.157
1965.248	-0.056
1965.276	0.151
1965.303	0.357
1965.331	0.554
1965.358	0.615
1965.385	0.677
1965.413	0.738
1965.440	0.807
1965.467	0.877
1965.495	0.947
1965.522	1.056
1965.550	1.165
1965.577	1.275
1965.604	1.351
1965.632	1.422
1965.659	1.493
1965.687	1.550
1965.714	1.604
1965.741	1.657
1965.769	1.680
1965.796	1.693
1965.823	1.706
1965.851	1.686
1965.878	1.649
1965.906	1.613
1965.933	1.552
1965.960	1.478
1965.988	1.403
1966.015	1.299
1966.042	1.170
1966.070	1.041
1966.097	0.967
1966.125	0.960
1966.152	0.953
1966.179	0.892
1966.207	0.801
1966.234	0.711
1966.261	0.599
1966.289	0.469
1966.316	0.340
1966.344	0.320
1966.371	0.394
1966.398	0.468
1966.426	0.516
1966.453	0.529
1966.480	0.543
1966.508	0.491
1966.535	0.355
1966.563	0.220
1966.590	0.139
1966.617	0.164
1966.645	0.190
1966.672	0.202
1966.700	0.169
1966.727	0.136
1966.754	0.105
1966.782	0.082
1966.809	0.060
1966.836	0.032
1966.864	-0.031
1966.891	-0.095
1966.919	-0.160
1966.946	-0.241
1966.973	-0.321
1967.001	-0.399
1967.028	-0.377
1967.055	-0.354
1967.083	-0.332
1967.110	-0.337
1967.138	-0.344
1967.165	-0.359
1967.192	-0.437
1967.220	-0.514
1967.247	-0.588
1967.274	-0.492
1967.302	-0.395
1967.329	-0.298
1967.357	-0.156
1967.384	-0.014
1967.411	0.128
1967.439	0.149
1967.466	0.159
1967.493	0.169
1967.521	0.038
1967.548	-0.107
1967.576	-0.253
1967.603	-0.353
1967.630	-0.443
1967.658	-0.534
1967.685	-0.541
1967.713	-0.514
1967.740	-0.488
1967.767	-0.453
1967.795	-0.414
1967.822	-0.375
1967.849	-0.392
1967.877	-0.445
1967.904	-0.499
1967.932	-0.561
1967.959	-0.628
1967.986	-0.696
1968.014	-0.743
1968.041	-0.769
1968.068	-0.795
1968.096	-0.792
1968.123	-0.747
1968.151	-0.702
1968.178	-0.642
1968.205	-0.568
1968.233	-0.493
1968.260	-0.421
1968.287	-0.350
1968.315	-0.280
1968.342	-0.153
1968.370	0.050
1968.397	0.254
1968.424	0.420
1968.452	0.510
1968.479	0.600
1968.507	0.635
1968.534	0.561
1968.561	0.486
1968.589	0.406
1968.616	0.309
1968.643	0.212
1968.671	0.138
1968.698	0.188
1968.726	0.238
1968.753	0.303
1968.780	0.452
1968.808	0.601
1968.835	0.742
1968.862	0.768
1968.890	0.795
1968.917	0.831
1968.945	0.993
1968.972	1.154
1968.999	1.316
1969.027	1.235
1969.054	1.148
1969.081	1.061
1969.109	0.891
1969.136	0.709
1969.164	0.535
1969.191	0.471
1969.218	0.406
1969.246	0.342
1969.273	0.476
1969.300	0.615
1969.328	0.755
1969.355	0.691
1969.383	0.621
1969.410	0.550
1969.437	0.488
1969.465	0.428
1969.492	0.368
1969.520	0.357
1969.547	0.354
1969.574	0.351
1969.602	0.443
1969.629	0.566
1969.656	0.688
1969.684	0.756
1969.711	0.796
1969.739	0.836
1969.766	0.848
1969.793	0.845
1969.821	0.841
1969.848	0.857
1969.875	0.887
1969.903	0.917
1969.930	0.937
1969.958	0.950
1969.985	0.963
1970.012	0.947
1970.040	0.895
1970.067	0.844
1970.094	0.781
1970.122	0.699
1970.149	0.617
1970.177	0.585
1970.204	0.595
1970.231	0.605
1970.259	0.575
1970.286	0.495
1970.313	0.415
1970.341	0.283
1970.368	0.086
1970.396	-0.110
1970.423	-0.311
1970.450	-0.521
1970.478	-0.731
1970.505	-0.885
1970.533	-0.930
1970.560	-0.975
1970.587	-1.009
1970.615	-1.006
1970.642	-1.003
1970.669	-0.995
1970.697	-0.955
1970.724	-0.915
1970.752	-0.892
1970.779	-0.986
1970.806	-1.079
1970.834	-1.174
1970.861	-1.311
1970.888	-1.447
1970.916	-1.580
1970.943	-1.563
1970.971	-1.547
1970.998	-1.531
1971.025	-1.458
1971.053	-1.381
1971.080	-1.304
1971.107	-1.287
1971.135	-1.283
1971.162	-1.277
1971.190	-1.119
1971.217	-0.961
1971.244	-0.803
1971.272	-0.735
1971.299	-0.675
1971.326	-0.615
1971.354	-0.645
1971.381	-0.684
1971.409	-0.723
1971.436	-0.646
1971.463	-0.543
1971.491	-0.439
